"","year","country","leadername","age","politybefore","polityafter","interwarbefore","interwarafter","civilwarbefore","civilwarafter","result"
"80",1926,"Greece","Pangalos",48,-3.66666666666667,10,0,0,0,0,"plot stopped"
"81",1968,"Greece","Papadopoulos",49,0.333333333333333,-7,0,0,0,0,"not wounded"
"82",1995,"Georgia","Shevardnadze",67,4,5,0,0,1,0,"wounded lightly"
"83",1998,"Georgia","Shevardnadze",70,5,5,0,0,0,0,"not wounded"
"84",1884,"Guatemala","Justo Rufino Barrios",49,2,2,0,1,0,0,"wounded lightly"
"85",1886,"Guatemala","Barillas",41,2,2,1,0,0,0,"plot stopped"
"86",1898,"Guatemala","Reina Barrios",63,-1.33333333333333,-5.33333333333333,0,0,0,0,"dies, timing unknown"
"87",1907,"Guatemala","Estrada-Cabrera",50,-9,-9,1,0,0,0,"not wounded"
"88",1908,"Guatemala","Estrada-Cabrera",51,-9,-9,1,0,0,0,"wounded lightly"
"89",1957,"Guatemala","Castillo Armas",43,-6,-5,0,0,1,0,"dies within a day after the attack"
"90",1996,"Guatemala","Arzu Yrigoyen",50,3,8,0,0,0,0,"not wounded"
"91",1980,"Guinea","Toure",58,-9,-9,0,0,0,0,"not wounded"
"92",1892,"Haiti","Hippolyte",65,-3,-3,0,0,0,0,"plot stopped"
"93",1912,"Haiti","Leconte",58,-3,-3,0,0,0,0,"dies within a day after the attack"
"94",1947,"Honduras","Carias Andino",71,-3,-3,0,0,0,0,"plot stopped"
"95",1955,"India","Nehru",66,9,9,0,0,0,0,"plot stopped"
"96",1980,"India","Gandhi, I.",63,8,8,0,0,0,0,"not wounded"
"97",1984,"India","Gandhi, I.",67,8,8,0,0,0,1,"dies within a day after the attack"
"98",1986,"India","Gandhi, R.",42,8,8,0,0,1,1,"not wounded"
"99",1957,"Indonesia","Sukarno",56,0,-3.66666666666667,0,0,1,1,"not wounded"
"100",1962,"Indonesia","Sukarno",61,-5,-5,0,0,1,0,"not wounded"
"101",1896,"Iran","Nasir Ad-Din",65,-10,-10,0,0,0,0,"dies within a day after the attack"
"102",1896,"Iran","Muzaffar ad-Din",43,-10,-10,0,0,0,0,"not wounded"
"103",1900,"Iran","Muzaffar ad-Din",47,-10,-10,0,0,0,0,"plot stopped"
"104",1908,"Iran","Mohammed Ali Shah",36,-3.33333333333333,0,0,0,0,1,"not wounded"
"105",1949,"Iran","Mohammad Reza",30,-1,-1,0,0,0,0,"wounded lightly"
"106",1967,"Iran","Mohammad Reza",48,-10,-10,0,0,0,0,"not wounded"
"107",1959,"Iraq","Karrim Kassem",45,-4.33333333333333,-5,0,0,0,1,"hospitalization but no permanent disability"
"108",1982,"Iraq","Saddam Hussein",45,-9,-9,1,1,0,1,"not wounded"
"109",1957,"Israel","Ben Gurion",71,10,10,1,0,0,0,"wounded lightly"
"110",1995,"Israel","Rabin",73,9,9,0,0,0,0,"dies within a day after the attack"
"111",1923,"Italy","Mussolini",40,-1.33333333333333,-5.66666666666667,0,0,0,0,"not wounded"
"112",1924,"Italy","Mussolini",41,-2,-7,0,0,0,0,"survives, whether wounded unknown"
"113",1925,"Italy","Mussolini",42,-3,-8,0,0,0,0,"plot stopped"
"114",1926,"Italy","Mussolini",43,-4.33333333333333,-8.66666666666667,0,0,0,0,"hospitalization but no permanent disability"
"115",1928,"Italy","Mussolini",45,-7,-9,0,0,0,0,"plot stopped"
"116",1932,"Italy","Mussolini",49,-9,-9,0,1,0,0,"plot stopped"
"117",1949,"Jordan","Abdullah Al-Hussein",67,-10,-5,1,0,0,0,"plot stopped"
"118",1951,"Jordan","Abdullah Al-Hussein",69,-10,-1,1,0,0,0,"dies within a day after the attack"
"119",1960,"Jordan","Hussein Ibn Talal El-Hashim",25,-9,-9,0,0,0,0,"not wounded"
"120",1970,"Jordan","Hussein Ibn Talal El-Hashim",35,-9,-9,1,1,0,0,"not wounded"
"121",1972,"Jordan","Hussein Ibn Talal El-Hashim",37,-9,-9.66666666666667,0,1,1,0,"hospitalization but no permanent disability"
"122",1916,"Japan","Okuma",78,1,1,1,1,0,1,"not wounded"
"123",1920,"Japan","Hara, T.",64,1,1,1,0,1,0,"survives, whether wounded unknown"
"124",1921,"Japan","Hara, T.",65,1,1,1,0,1,0,"dies within a day after the attack"
"125",1925,"Japan","Kato, Takaaki",65,1,1,0,0,0,1,"not wounded"
"126",1928,"Japan","Tanaka, G.",64,1,1,0,1,1,0,"plot stopped"
"127",1929,"Japan","Hamaguchi",59,1,1,0,1,1,0,"plot stopped"
"128",1930,"Japan","Hamaguchi",60,1,1,0,1,1,0,"survives but wounded severely"
"129",1932,"Japan","Inukai",77,1,1,1,1,0,0,"dies within a day after the attack"
"130",1960,"Japan","Kishi",64,10,10,0,0,0,0,"wounded lightly"
"131",1963,"Japan","Ikeda",64,10,10,0,0,0,0,"survives, whether wounded unknown"
"132",1978,"Japan","Ohira",68,10,10,0,0,0,0,"plot stopped"
"133",1972,"Kenya","Kenyatta",81,-7,-7,0,0,0,0,"plot stopped"
"134",1985,"Kuwait","Jabir As-Sabah",59,-8,-10,0,0,0,0,"wounded lightly"
"135",1955,"Liberia","Tubman",60,-6,-6,0,0,0,0,"not wounded"
"136",1956,"Lebanon","Chamoun",56,2,2,0,0,0,1,"plot stopped"
"137",1978,"Libya","Qaddafi",36,-7,-7,0,1,0,0,"not wounded"
"138",1981,"Libya","Qaddafi",39,-7,-7,1,0,0,1,"wounded lightly"
"139",1984,"Libya","Qaddafi",42,-7,-7,0,0,1,1,"not wounded"
"140",1975,"Madagascar","Ratsimandrava",44,-3,-6,0,0,0,0,"dies, timing unknown"
"141",1890,"Mexico","Diaz",60,-9,-9,0,0,0,0,"not wounded"
"142",1897,"Mexico","Diaz",67,-9,-9,0,0,0,0,"not wounded"
"143",1920,"Mexico","Carranza",61,-1,-1,0,0,1,1,"dies, timing unknown"
"144",1921,"Mexico","Obregon",31,-1,-1.66666666666667,0,0,1,1,"plot stopped"
"145",1925,"Mexico","Calles",48,-1.66666666666667,-3,0,0,1,1,"plot stopped"
"146",1927,"Mexico","Calles",50,-3,-4,0,0,1,1,"not wounded"
"147",1929,"Mexico","Portes Gil",39,-3,-6,0,0,1,1,"not wounded"
"148",1930,"Mexico","Ortiz Rubio",53,-3,-6,0,0,1,0,"hospitalization but no permanent disability"
"149",1935,"Mexico","Cardenas",40,-6,-6,0,0,0,0,"plot stopped"
"150",1944,"Mexico","Avila Camacho",47,-6,-6,0,0,0,0,"not wounded"
"151",1952,"Mexico","Aleman Valdes",49,-6,-6,0,0,0,0,"plot stopped"
"152",1963,"Myanmar (Burma)","Ne Win",52,3.33333333333333,-7,0,0,0,0,"hospitalization but no permanent disability"
"153",1962,"Nepal","Mahendra",42,-6,-9,0,0,0,0,"not wounded"
"154",2001,"Nepal","Birendra",55,5.66666666666667,-6,0,0,0,1,"dies within a day after the attack"
"155",1954,"Nicaragua","Anastasio Somoza Garcia",58,-8,-8,0,0,0,0,"plot stopped"
"156",1956,"Nicaragua","Anastasio Somoza Garcia",60,-8,-8,0,0,0,0,"dies between a week and a month"
"157",1959,"Nicaragua","Luis Somoza Debayle",37,-8,-8,0,0,0,0,"not wounded"
"158",1965,"Niger","Diori",49,-7,-7,0,0,0,0,"not wounded"
"159",1987,"Netherlands","Lubbers",48,10,10,0,0,0,0,"not wounded"
"160",1966,"Oman","Sa`id ibn Taimur",56,-10,-10,0,0,0,0,"not wounded"
"161",1951,"Pakistan","L. Khan",56,3.33333333333333,5,1,0,0,0,"dies within a day after the attack"
"162",1968,"Pakistan","Ayub Khan",61,1,0.333333333333333,1,1,0,1,"not wounded"
"163",1988,"Pakistan","Zia",64,-4,8,0,0,0,0,"dies within a day after the attack"
"164",1999,"Pakistan","Sharif",50,7.33333333333333,-5.66666666666667,0,0,0,0,"not wounded"
"165",1955,"Panama","Remon Cantero",47,-1,4,0,0,0,0,"dies within a day after the attack"
"166",1908,"Peru","Pardo y Barreda",44,2,2,0,0,0,0,"not wounded"
"167",1932,"Peru","Sanchez Cerro",43,-6,2,0,0,0,0,"hospitalization but no permanent disability"
"168",1933,"Peru","Sanchez Cerro",44,-3,2,0,0,1,0,"dies within a day after the attack"
"169",1933,"Peru","Benavidez",57,-3,2,0,0,1,0,"plot stopped"
"170",1986,"Peru","Garcia Perez",37,7,7,0,0,1,1,"not wounded"
"171",1922,"Poland","Narutowicz",57,8,8,1,0,0,0,"dies within a day after the attack"
"172",1924,"Poland","Wojciechowski",55,8,0.666666666666667,0,0,0,0,"not wounded"
"173",1893,"Portugal","Carlos I",30,-4,-4,0,0,0,0,"not wounded"
"174",1896,"Portugal","Carlos I",33,-4,-4,0,0,0,0,"not wounded"
"175",1908,"Portugal","Carlos I",45,-4.33333333333333,4.66666666666667,0,0,0,0,"dies within a day after the attack"
"176",1918,"Portugal","Paes",46,7,7,1,0,0,0,"dies within a day after the attack"
"177",1937,"Portugal","Salazar",48,-9,-9,0,0,1,1,"not wounded"
"178",1952,"Korea South","Rhee",77,-3,-4,1,1,0,0,"not wounded"
"179",1968,"Korea South","Hee Park",51,3,3,1,1,0,0,"not wounded"
"180",1974,"Korea South","Hee Park",57,-4.66666666666667,-8,1,0,0,0,"not wounded"
"181",1979,"Korea South","Hee Park",62,-8,-6,0,0,0,0,"dies within a day after the attack"
"182",1983,"Korea South","Chun Doo Hwan",52,-6,-5,0,0,0,0,"not wounded"
"183",1878,"Russia","Alexander II",60,-10,-10,1,0,0,0,"survives, whether wounded unknown"
"184",1879,"Russia","Alexander II",61,-10,-10,1,0,0,0,"not wounded"
"185",1880,"Russia","Alexander II",62,-10,-10,1,0,0,0,"not wounded"
"186",1881,"Russia","Alexander II",63,-10,-10,1,0,0,0,"dies within a day after the attack"
"187",1886,"Russia","Alexander III",41,-10,-10,0,0,0,0,"survives, whether wounded unknown"
"188",1888,"Russia","Alexander III",43,-10,-10,0,0,0,0,"not wounded"
"189",1889,"Russia","Alexander III",44,-10,-10,0,0,0,0,"survives, whether wounded unknown"
"190",1904,"Russia","Nicholas II",36,-10,-6.66666666666667,0,1,0,1,"plot stopped"
"191",1914,"Russia","Nicholas II",46,-6,-4.33333333333333,0,1,0,1,"not wounded"
"192",1918,"Russia","Lenin",48,-4.33333333333333,-1,1,1,1,1,"hospitalization but no permanent disability"
"193",1962,"Vietnam South","Ngo Dinh Diem",61,-3,-3,0,1,1,1,"not wounded"
"194",1994,"Rwanda","Habyarimana",57,-6.66666666666667,-6,0,0,1,1,"dies within a day after the attack"
"195",1960,"South Africa","Verwoerd",59,4,4,0,0,0,0,"hospitalization but no permanent disability"
"196",1966,"South Africa","Verwoerd",65,4,4,0,0,0,0,"dies within a day after the attack"
"197",1913,"El Salvador","Araujo",48,-6,-6,0,0,0,0,"dies between a day and a week"
"198",1935,"Saudi Arabia","Aziz",53,-10,-10,1,0,0,0,"not wounded"
"199",1975,"Saudi Arabia","Faisal",70,-10,-10,1,0,0,0,"dies within a day after the attack"
"200",1967,"Senegal","Senghor",61,-7,-7,0,0,0,0,"plot stopped"
"201",1969,"Somalia","Shermarke",50,7,-7,0,0,0,0,"dies within a day after the attack"
"202",1897,"Spain","del Castillo",69,4.33333333333333,4.66666666666667,0,1,0,0,"dies within a day after the attack"
"203",1904,"Spain","Maura y Montaner",51,6,6,0,0,0,0,"wounded lightly"
"204",1912,"Spain","Canalejas y Mendez",58,6,6,1,0,0,0,"dies within a day after the attack"
"205",1921,"Spain","Dato y Iradier",65,6,-2.66666666666667,0,0,0,0,"dies within a day after the attack"
"206",1926,"Spain","de Rivera",56,-6.66666666666667,-6,0,0,0,0,"not wounded"
"207",1959,"Sri Lanka","Bandaranaike, S.W.R.D.",60,7,7,0,0,0,0,"dies within a day after the attack"
"208",1987,"Sri Lanka","Jayewardene",81,5,5,0,0,1,0,"not wounded"
"209",1993,"Sri Lanka","Premadasa",69,5,5,0,0,0,1,"dies within a day after the attack"
"210",1999,"Sri Lanka","Kumaratunga",54,5,5.66666666666667,0,0,1,1,"hospitalization but no permanent disability"
"211",1970,"Sudan","Nimeiri",40,5.33333333333333,-7,0,0,1,1,"survives, whether wounded unknown"
"212",1986,"Sweden","Palme",59,10,10,0,0,0,0,"dies within a day after the attack"
"213",1973,"Syria","Al-Assad H.",43,-9,-9,0,0,1,1,"hospitalization but no permanent disability"
"214",1980,"Syria","Al-Assad H.",50,-9,-9,0,1,1,1,"not wounded"
"215",1963,"Togo","Olympio",61,-6,-6,0,0,0,0,"dies within a day after the attack"
"216",1967,"Togo","Eyadema",53,-6,-7,0,0,0,0,"wounded lightly"
"217",1905,"Turkey","Hamid II",63,-10,-8,0,0,1,0,"not wounded"
"218",1906,"Turkey","Hamid II",64,-10,-5,0,0,1,0,"hospitalization but no permanent disability"
"219",1964,"Turkey","Inonu",80,9,8,0,0,0,0,"not wounded"
"220",1975,"Turkey","Demirel",51,5.33333333333333,9,1,0,0,0,"wounded lightly"
"221",1988,"Turkey","Ozal",61,7,9,0,0,0,1,"wounded lightly"
"222",1969,"Uganda","Obote",44,-4,-7,0,0,1,0,"hospitalization but no permanent disability"
"223",1975,"Uganda","Amin",50,-7,-7,0,1,0,0,"not wounded"
"224",1976,"Uganda","Amin",51,-7,-7,0,1,0,0,"not wounded"
"225",1977,"Uganda","Amin",52,-7,-2,0,1,0,1,"plot stopped"
"226",1984,"United Kingdom","Thatcher",59,10,10,1,0,0,0,"not wounded"
"227",1886,"Uruguay","Maximo Santos",39,-3,-3,0,0,0,0,"hospitalization but no permanent disability"
"228",1897,"Uruguay","Juan Idiarte Borda",53,-3,-3,0,0,0,0,"dies within a day after the attack"
"229",1897,"Uruguay","Juan Lindolfo Cuestas",60,-3,-3,0,0,0,0,"plot stopped"
"230",1918,"Uruguay","Feliciano Viera",46,2,3,0,0,0,0,"not wounded"
"231",1935,"Uruguay","Terra",62,2,0,0,0,0,0,"wounded lightly"
"232",1881,"United States","Garfield",50,10,10,0,0,0,0,"dies within a day after the attack"
"233",1901,"United States","McKinley",58,10,10,1,0,0,0,"dies between a week and a month"
"234",1933,"United States","Roosevelt, F.",51,10,10,0,0,0,0,"not wounded"
"235",1950,"United States","Truman",66,10,10,0,1,0,0,"not wounded"
"236",1963,"United States","Kennedy",46,10,10,0,1,1,1,"dies within a day after the attack"
"237",1972,"United States","Nixon",59,10,10,1,1,1,1,"plot stopped"
"238",1975,"United States","Ford",62,10,10,1,0,1,0,"not wounded"
"239",1981,"United States","Reagan",70,10,10,0,0,0,0,"hospitalization but no permanent disability"
"240",1999,"Uzbekistan","Karimov",61,-9,-9,0,0,0,0,"not wounded"
"241",1900,"Venezuela","Cipriano Castro",42,-3,-3,0,0,1,1,"not wounded"
"242",1931,"Venezuela","Gomez",74,-9,-9,0,0,0,0,"plot stopped"
"243",1950,"Venezuela","Delgado Chalbaud",41,-3,-3,0,0,0,0,"dies within a day after the attack"
"244",1960,"Venezuela","Betancourt",52,3,6,0,0,0,0,"wounded lightly"
"245",1961,"Yemen North","Ibn Yahya Hamid",70,-6,0,0,0,0,1,"hospitalization but no permanent disability"
"246",1968,"Yemen North","Al-Iryani",51,-2,-3,0,0,1,1,"not wounded"
"247",1977,"Yemen North","Al-Hamadi",34,-4,-6,0,0,0,0,"dies, timing unknown"
"248",1977,"Yemen North","Al-Ghashmi",38,-4,-6,0,0,0,0,"plot stopped"
"249",1978,"Yemen North","Al-Ghashmi",39,-4.66666666666667,-6,0,0,0,0,"dies within a day after the attack"
"250",1934,"Yugoslavia","Alexander",46,-10,-7.66666666666667,0,0,0,0,"dies within a day after the attack"
