treatment,pri2000s,pri2000v,t2000,t2000r,pri1994,pan1994,prd1994,pri1994s,pri1994v,pan1994s,pan1994v,prd1994s,prd1994v,t1994,t1994r,votos1994,avgpoverty,pobtot1994,villages
1,50.34965277,86.74698795,58.74125957,52.86624204,65,1,9,42.12860167,86.66666667,0.648132339,1.333333333,5.833191052,12,48.6099273,63.02521008,75,5,328,1
1,42.7860707,69.35483871,63.18408251,55.60538117,121,1,2,53.38522792,96.03174603,0.44120024,0.793650794,0.882400479,1.587301587,55.59122562,67.74193548,126,4.5,460,2
1,50.17421842,82.75862069,61.32404208,55.94855305,147,6,6,56.70731664,89.09090909,2.314584516,3.636363636,2.314584516,3.636363636,63.65107298,69.0376569,165,5,616,1
0,64.96062875,83.75634518,87.00787425,41.91489362,180,0,7,72.0177412,96.25668449,0,0,2.800689824,3.743315508,75.21852851,59.74440895,188,5,538,2
0,29.20517623,66.94915254,44.36229169,34.80825959,159,1,152,41.89594686,50.63694268,0.263496535,0.318471338,40.05147219,48.40764331,85.63637137,60.50096339,325,5,804,3
0,47.23404348,90.24390244,59.14893746,44.56521739,78,3,48,39.95986879,57.35294118,1.536917966,2.205882353,24.59068745,35.29411765,76.33359432,66.99507389,149,5,444,2
1,87.5,84.48275862,100,59.18367347,31,3,4,48.92026782,81.57894737,4.734219238,7.894736842,6.312292814,10.52631579,59.96677876,63.33333333,38,5,172,1
0,44.60966587,47.71371769,94.79553699,63.35012594,188,51,102,39.92481232,52.36768802,10.83066761,14.20612813,21.66133523,28.41225627,82.822752,62.65270506,390,5,969,9
0,47.2222209,33.33333333,100,75.55555556,57,0,16,63.6515975,78.08219178,0,0,17.86711365,21.91780822,100,76.84210526,93,5,241,2
1,56.88622594,81.1965812,71.8562901,42.85714286,111,1,8,48.57150614,90.24390244,0.43758112,0.81300813,3.50064896,6.504065041,63.44926357,55.15695067,145,5,533,3
0,17.86833853,27.66990291,65.83071947,32.6984127,49,0,136,9.758760035,26.20320856,0,0,27.08553672,72.72727273,42.221573,64.70588235,212,5,1080,12
1,48.97959232,80,61.2244904,50.84745763,55,1,7,44.62189376,85.9375,0.811307225,1.5625,5.679150298,10.9375,57.60281086,64.64646465,71,5,272,2
1,32.1266979,58.19672131,57.01357722,46.5648855,265,2,190,37.12973595,56.1440678,0.280224415,0.423728814,26.62132084,40.25423729,68.23464632,66.76096181,487,5,1534,1
1,30.4878056,66.66666667,47.56097496,34.72222222,52,2,8,29.34597433,61.17647059,1.128691342,2.352941176,4.514765367,9.411764706,47.96938002,56.29139073,85,5,349,3
1,40.57970941,90.32258065,46.37681246,32.63157895,68,0,0,36.59369051,83.95061728,0,0,0,0,46.81839645,52.25806452,87,5,383,4
1,51.69491768,91.04477612,61.86440587,55.83333333,66,1,1,68.819803,97.05882353,1.042724308,1.470588235,1.042724308,1.470588235,78.20432186,77.27272727,75,5,217,1
1,64.28571343,95.23809524,71.07142806,64.06779661,105,0,10,39.18258846,89.74358974,0,0,3.731675074,8.547008547,54.10928726,59.09090909,145,5,667,2
1,26.38297975,46.09665428,61.06383204,50.75471698,263,3,22,54.51850891,90.06849315,0.621884083,1.02739726,4.560483247,7.534246575,62.81029582,75.25773196,303,4.666666508,1100,3
0,50.71770549,74.64788732,69.8564589,64.84018265,131,9,4,63.45366836,86.75496689,4.359412193,5.960264901,1.937516592,2.649006623,78.46941948,79.89417989,162,4,319,2
1,32.60553181,71.33757962,50.80057979,54.23143351,222,0,66,32.81513453,75.51020408,0,0,9.755850583,22.44897959,50.70086122,57.421875,343,5,1369,7
1,28.9855063,63.95348837,52.04216242,46.23655914,177,6,58,25.26371181,70.51792829,0.856397022,2.390438247,8.278504759,23.10756972,35.82594395,43.42560554,251,5,1337,12
0,25.73839724,53.98230088,50.21097064,55.39215686,53,10,19,22.27863371,59.5505618,4.203515872,11.23595506,7.986680418,21.34831461,44.97762024,53.93939394,107,5,453,5
0,34.98964906,53.48101266,68.11594367,54.57685665,157,23,43,26.83719695,59.69581749,3.931564093,8.745247148,7.350315154,16.34980989,51.62314773,64.30317848,302,4.800000191,1150,5
0,23.14410508,46.90265487,51.09170079,49.41690962,172,12,51,22.88390994,49.71098266,1.596551947,3.468208092,6.785345823,14.73988439,46.0339129,62.23021583,346,5,1382,11
1,32.52480626,57.17054264,60.19845605,55.60344828,200,26,100,20.99495828,56.02240896,2.729344554,7.282913165,10.49747914,28.01120448,40.8351928,45.88688946,389,5,2100,12
1,45.62146962,74.59584296,64.40678239,51.24260355,223,16,49,30.62075973,67.98780488,2.197005041,4.87804878,6.728328019,14.93902439,50.25649071,53.16045381,366,5,1716,10
1,31.72413707,56.44171779,58.79310369,51.58227848,260,21,49,48.69315028,75.58139535,3.932908177,6.104651163,9.176785499,14.24418605,67.79584289,71.22153209,362,3.75,912,5
1,33.3716929,48.25291181,71.46145105,52.58092738,480,90,78,52.64586806,70.79646018,9.871099889,13.27433628,8.554953337,11.50442478,77.98169255,75.24972253,711,4,1637,6
0,27.81186104,67.66169154,41.92228913,58.60058309,162,18,13,35.86802185,79.41176471,3.985335678,8.823529412,2.878298052,6.37254902,45.16713619,73.64620939,204,4.333333492,766,11
1,52.26130486,53.06122449,99.49748516,60.12269939,143,8,47,59.34504867,71.5,3.320002556,4,19.50501502,23.5,87.98007369,76.04562738,212,4,386,9
0,34.24908519,56.15615616,64.10256624,59.25266904,285,26,22,49.34208691,79.60893855,4.501383379,7.262569832,3.808862716,6.145251397,68.38639975,72.32323232,395,4.5,1029,4
1,17.93103516,32.70440252,55.17241359,50,36,0,139,11.26324609,20.2247191,0,0,43.48864555,78.08988764,56.62909746,73.25102881,181,4,615,1
1,8.174027503,49.79919679,17.40276814,49.11242604,183,45,20,12.83738613,66.54545455,3.156734258,16.36363636,1.402992941,7.272727273,19.71205175,73.33333333,281,4,2491,5
1,36.56441569,50.2529511,77.05521584,51.47569444,475,107,56,64.77140188,71.96969697,14.59061056,16.21212121,7.636207342,8.484848485,92.04357266,70.96774194,675,3.666666746,1325,5
1,31.96721375,72.89719626,46.7213124,45.53191489,76,5,4,38.47063184,87.35632184,2.530962601,5.747126437,2.024769969,4.597701149,46.56971097,60.41666667,92,4,319,2
1,61.57894731,87.96992481,72.10526466,60.18099548,145,2,4,70.8129108,93.5483871,0.976729766,1.290322581,1.953459531,2.580645161,77.65002251,89.59537572,159,4.333333492,336,3
1,34.72906351,59.74576271,59.35960412,53.15315315,135,9,33,31.32075369,70.3125,2.088050172,4.6875,7.656183839,17.1875,50.34521222,53.48189415,217,4.5,743,4
1,19.75089014,38.67595819,95.01779079,55.51257253,377,2,0,79.36530709,99.21052632,0.421036081,0.526315789,0,0,83.36514831,88.16705336,396,5,1044,5
1,36.43892407,86.69950739,44.40993667,53.56200528,361,8,0,38.30079138,95.5026455,0.84877098,2.116402116,0,0,44.66657341,67.0212766,421,5,1843,6
0,41.50943458,62.60162602,69.00269389,58.43230404,181,9,6,40.92820287,90.95477387,2.035103925,4.522613065,1.356735919,3.015075377,44.99841034,67.68707483,199,5,796,6
1,46.09756172,89.1509434,53.90244126,48.51258581,215,7,12,52.3683548,91.88034188,1.705016196,2.991452991,2.922884934,5.128205128,56.99625611,85.71428571,234,5,826,6
1,35.42039394,77.34375,53.8461566,44.75524476,139,6,9,23.95810634,84.75609756,1.034162845,3.658536585,1.551244315,5.487804878,28.26711833,35.80786026,164,5,1178,2
0,45.4954952,82.11382114,58.10810924,48.046875,105,2,1,43.57876778,94.59459459,0.830071792,1.801801802,0.415035896,0.900900901,48.55919778,60.98901099,117,5,498,4
1,49.0566045,96.2962963,50.94339848,46.95652174,57,0,0,47.80288041,98.27586207,0,0,0,0,48.64152968,65.90909091,58,5,268,3
1,31.18644059,51.68539326,65.0847435,45.64102564,141,32,16,42.187953,67.78846154,9.574570507,15.38461538,4.787285253,7.692307692,75.10054111,63.03030303,251,5,693,2
1,1.078563556,42.24965706,2.591354027,60.44776119,722,217,66,1.366907917,68.5660019,0.410829671,20.60778727,0.124952802,6.267806268,2.146916278,73.07425399,1134,3,88205,7
0,17.28922129,36.40449438,49.41301942,50,198,1,125,24.08382297,59.10447761,0.121635466,0.298507463,15.2044341,37.31343284,43.05895567,46.59248957,354,5,1717,7
1,44.51962113,70.2991453,66.98240638,62.23404255,68,0,113,9.404099733,35.60209424,0,0,15.62740058,59.16230366,27.79741287,30.22151899,201,5,1495,3
1,42.3999995,56.38297872,77.60000229,59.87261146,77,4,2,56.58280849,90.58823529,2.939366549,4.705882353,1.469683275,2.352941176,64.66606259,72.03389831,88,4,221,1
0,48.38709533,77.5862069,66.39785171,55.3699284,217,15,11,50.40504932,86.45418327,3.484220058,5.976095618,2.555094659,4.38247012,61.32227182,74.48071217,264,4.333333492,625,3
1,44.37869787,68.18181818,65.68047404,58.2010582,87,7,17,46.47512436,78.37837838,3.739377856,6.306306306,9.081345797,15.31531532,62.5010252,75.51020408,117,4,332,2
1,58.73016119,79.85611511,73.54497313,56.73469388,105,3,19,49.68492985,78.94736842,1.419569459,2.255639098,8.990606666,14.28571429,64.82700706,78.23529412,137,4.333333492,376,3
1,60.78431606,91.17647059,66.66666865,47.22222222,78,2,10,57.62579441,82.9787234,1.477584429,2.127659574,7.387921959,10.63829787,70.18526196,75.80645161,95,4,307,2
1,55.84415793,87.75510204,64.06926513,61.50627615,141,2,4,66.91464186,93.37748344,0.949143805,1.324503311,1.898287609,2.649006623,74.03321862,85.31073446,156,4.199999809,425,5
1,70.40816545,70.40816327,100,57.30994152,63,0,33,58.38803649,64.94845361,0,0,30.58421016,34.02061856,90.82583785,75.78125,98,4.5,174,2
0,33.17972422,52.55474453,64.97696042,61.43497758,83,11,33,43.95763278,61.94029851,5.825710297,8.208955224,17.47713089,24.62686567,70.96774578,81.70731707,134,4,335,1
1,71.35134935,85.71428571,88.10811043,46.52567976,150,2,7,70.04666924,90.36144578,0.933955517,1.204819277,3.268844634,4.21686747,78.45226526,67.75510204,168,4.333333492,363,3
0,27.92207897,61.72248804,45.8874464,48.26789838,116,10,20,27.77731717,64.80446927,2.394596301,5.586592179,4.789192602,11.17318436,50.76544285,46.9816273,212,5,796,2
1,38.96551728,55.39215686,75.86206794,63.75,50,99,34,16.54212326,27.17391304,32.75340199,53.80434783,11.2486437,18.47826087,65.17596245,67.64705882,197,5,609,2
1,32.49211311,49.51923077,68.13880205,58.26330532,148,11,18,51.27511621,66.367713,3.810988367,4.932735426,6.236163154,8.071748879,83.84174705,79.3594306,242,4.75,585,4
1,35.4385972,74.08312958,52.04678178,52.70618557,367,29,29,34.5269829,80.83700441,2.728290297,6.387665198,2.728290297,6.387665198,44.40527558,69.20731707,472,4.666666508,1854,13
1,63.55421543,84.06374502,77.40963697,48.64341085,262,8,4,71.18445635,90.65743945,2.173571289,2.76816609,1.086785644,1.384083045,78.52026224,63.79690949,289,4.5,688,7
0,43.63001883,63.7755102,72.25130796,47.17208183,345,22,20,52.30239034,86.03491272,3.335224837,5.486284289,3.032022715,4.987531172,64.88528252,68.90034364,428,3.5,1172,6
1,18.51642132,39.35018051,48.41449559,57.99023029,438,214,29,26.86536908,61.51685393,13.12600225,30.05617978,1.778757386,4.073033708,44.77561414,78.8482835,730,3,2963,2
0,32.28346407,50.50038491,66.6338563,58.35579515,747,307,50,38.18279207,62.98482293,15.69225788,25.88532884,2.555742487,4.215851602,67.42048264,70.84826762,1319,4.25,3921,5
1,50.26041865,55.14285714,96.875,64.1025641,266,32,18,93.82207394,79.87987988,11.28686592,9.60960961,6.348861754,5.405405405,100,80.62953995,348,4,559,2
0,35.16699374,57.37179487,62.47544289,56.01436266,277,38,16,54.72797751,79.14285714,7.507809252,10.85714286,3.161183,4.571428571,72.1144855,81.58508159,365,4.333333492,952,3
1,41.14285707,57.37051793,79.1428566,63.70558376,154,0,69,46.90604508,67.84140969,0,0,21.01634443,30.39647577,73.40491414,76.17449664,241,4.5,634,3
0,49.00000095,60.12269939,83.49999785,63.92156863,95,24,11,40.69781601,69.34306569,10.28155312,17.51824818,4.712378606,8.02919708,59.97572541,67.82178218,140,4,412,1
0,37.07317114,73.07692308,51.70731544,42.62295082,86,4,13,39.10397887,74.13793103,1.818789728,3.448275862,5.911066383,11.20689655,52.74490118,65.16853933,116,4.666666508,420,3
1,61.58940196,81.57894737,80.79470396,53.27102804,97,5,19,55.47862649,76.98412698,2.859723195,3.968253968,10.86694747,15.07936508,72.06501961,78.26086957,126,5,352,1
1,28.76949608,47.29344729,62.9116118,55.18867925,213,12,16,36.57119572,57.88043478,2.060348913,3.260869565,2.74713207,4.347826087,68.84999871,67.3992674,401,4.333333492,1128,5
1,35.75667739,71.30177515,52.52225399,55.22875817,147,11,14,25.48126578,84.48275862,1.906761341,6.32183908,2.42678728,8.045977011,30.16149998,39.45578231,174,5,1194,4
1,34.59267914,64.53744493,55.72609305,55.23114355,273,8,43,38.16613853,81.98198198,1.118421648,2.402402402,6.011516228,12.91291291,51.30759478,55.87248322,367,5,1478,7
1,22.93955982,48.54651163,52.0604372,49.21316166,101,0,194,13.65797967,30.14925373,0,0,26.23413801,57.91044776,52.19781995,61.80811808,386,5,1536,4
0,24.15730357,45.95419847,57.30336905,48.84414616,480,66,74,47.60606289,71.96401799,6.545833498,9.895052474,7.339268178,11.09445277,74.97954965,65.39215686,756,4.599999905,1973,5
0,46.81181908,80.48128342,59.87558365,52.08913649,253,23,38,35.20415723,76.20481928,3.200377896,6.927710843,5.287580937,11.44578313,60.25059223,61.02941176,433,4.285714149,1311,7
0,51.9230783,79.8816568,69.80769038,68.14516129,219,5,13,51.89127326,90.12345679,1.184732281,2.057613169,3.080303781,5.349794239,67.2927916,66.57534247,284,5,940,2
0,37.20930219,60.37735849,63.95348907,43.08943089,50,1,8,45.27258873,81.96721311,0.905451737,1.639344262,7.243613899,13.1147541,58.85436535,61.61616162,65,4,244,1
1,33.37142766,41.71428571,81.94285631,56.77210057,293,25,267,29.32784855,47.18196457,2.502376214,4.025764895,26.72537863,42.99516908,63.15997243,71.05263158,631,3.333333254,1824,6
1,71.92982435,58.36298932,100,46.98996656,169,15,84,72.75918722,59.09090909,6.457916647,5.244755245,36.16433144,29.37062937,100,65.14806378,319,4.5,514,3
1,44.36813295,66.05316973,69.91758347,50.05117707,387,69,19,38.96419406,77.86720322,6.947104633,13.8832998,1.912970841,3.822937626,54.87205982,67.89617486,545,3.5,1832,4
1,80.30303121,100,83.33333135,60.22727273,57,0,0,73.27823639,100,0,0,0,0,73.27823639,91.93548387,57,5,132,1
0,37.14733422,66.20111732,57.68024921,53.51270553,265,1,92,41.74366891,72.60273973,0.157523283,0.273972603,14.4921422,25.20547945,60.96150875,62.39316239,387,5,1082,9
1,38.54748607,71.50259067,56.70391321,50.92348285,160,6,10,41.02125466,88.88888889,1.538297068,3.333333333,2.563828416,5.555555556,50.25103688,63.82978723,196,4.5,740,6
1,50,98.98989899,52.55101919,40.24390244,94,0,25,36.89694107,77.68595041,0,0,9.813016653,20.66115702,52.99028754,63.02083333,135,5,437,4
1,36.59147918,68.54460094,53.63408327,51.44927536,166,1,28,43.15858185,83.83838384,0.259991456,0.505050505,7.279761136,14.14141414,57.71810412,59.81873112,222,4.75,739,4
1,31.03448153,90.69767442,35.54376662,42.15686275,152,0,5,39.17362094,96.81528662,0,0,1.288605947,3.184713376,47.42070138,68.26086957,184,4.75,629,4
1,56.18556738,74.14965986,85.56700945,56.75675676,115,2,12,45.46298683,80.98591549,0.790660642,1.408450704,4.743963853,8.450704225,64.43884373,69.26829268,163,5,477,2
1,60.78431606,73.80952381,84.31372643,56,40,3,1,69.68063116,90.90909091,5.226047337,6.818181818,1.742015779,2.272727273,76.64869428,65.67164179,44,5,103,2
1,66.43835902,96.03960396,71.23287916,61.96319018,96,0,7,56.42954111,91.42857143,0,0,4.114653915,6.666666667,61.71981096,73.94366197,105,5,311,5
1,58.1395328,78.47533632,77.40863562,63.53276353,175,16,4,56.24200106,85.36585366,5.142125487,7.804878049,1.285531372,1.951219512,67.81178117,75.36764706,211,5,560,4
1,52.86343694,85.51068884,64.7577107,64.17682927,419,21,5,62.0742321,90.10752688,3.11111901,4.516129032,0.74074259,1.075268817,71.11129165,81.15183246,480,3.75,1173,4
1,42.32558012,68.93939394,65.58139324,46.47887324,119,2,3,52.67066956,93.7007874,0.885221269,1.57480315,1.32783195,2.362204724,56.211555,59.06976744,127,5,434,1
1,50,78.20512821,64.75409865,57.35294118,75,4,2,43.40230227,90.36144578,2.314789593,4.819277108,1.157394797,2.409638554,48.03188145,73.45132743,83,4,263,2
1,63.59649301,88.41463415,74.1228044,66.93877551,114,6,11,45.94320357,83.82352941,2.418063395,4.411764706,4.433115944,8.088235294,58.03351998,72.72727273,144,5,493,1
1,64.32291865,84.01360544,77.34375,65.18847007,215,5,5,63.08626533,94.29824561,1.46712251,2.192982456,1.46712251,2.192982456,66.90078378,61.62162162,228,4.400000095,750,5
0,45.20547986,73.88059701,62.55707741,53.38645418,136,2,2,54.93330956,95.77464789,0.807842799,1.408450704,0.807842799,1.408450704,58.97251964,63.67713004,146,5,527,3
0,43.95973086,60.64814815,73.48993421,58.06451613,200,2,2,61.94674373,94.33962264,0.619467441,0.943396226,0.619467441,0.943396226,65.97328186,75.17730496,213,5,684,5
0,39.61352706,80.39215686,52.53623128,47.11316397,402,7,12,56.14875555,91.57175399,0.977714639,1.59453303,1.676082239,2.733485194,61.31667495,67.33128834,439,5,1573,4
1,87.02290058,95.79831933,100,88.14814815,83,1,3,57.61688352,93.25842697,0.694179349,1.123595506,2.082538046,3.370786517,61.78196073,78.07017544,89,5,320,1
1,32.51833618,50.76335878,64.05867934,57.33041575,164,23,87,39.69951272,58.78136201,5.567614734,8.243727599,21.06010765,31.1827957,68.74793768,76.85950413,284,4.25,725,5
0,40.97902179,74.55470738,57.34265447,51.57480315,264,16,87,36.00114584,70.0265252,2.181887627,4.24403183,11.86401397,23.07692308,52.22893357,63.57504216,383,5,1422,5
0,26.64576769,37.61061947,72.88401127,67.26190476,74,33,121,10.74379683,31.3559322,4.79115285,13.98305085,17.56756008,51.27118644,34.26400125,41.25874126,236,3.799999952,1248,5
1,24.57420975,41.73553719,60.82724929,58.88077859,82,11,133,18.48218292,32.8,2.479317226,4.4,29.97719944,53.2,56.34812117,77.63975155,250,4.666666508,926,3
1,17.07156897,37.24928367,47.73473442,56.56401945,432,89,199,34.42524672,55.95854922,7.092238218,11.52849741,15.85792601,25.77720207,63.90983462,76.8159204,802,3.888888836,2356,10
1,13.82799298,23.90670554,60.03372669,50.66469719,115,23,239,20.32875866,28.53598015,4.065751657,5.70719603,42.24846363,59.30521092,73.89061451,67.39130435,418,4.888888836,1139,11
1,17.68018007,25.12,72.86036015,62.06554121,203,28,342,27.9910475,33.49834983,3.860834241,4.620462046,47.1573323,56.43564356,90.45382738,65.30172414,656,4.785714149,1408,14
0,31.08433783,37.94117647,85.18072367,62.73062731,242,2,475,32.15937614,32.88043478,0.265779952,0.27173913,63.12274337,64.53804348,100,80.08705114,763,3.5,1745,4
1,24.49528873,40.26548673,63.52624297,48.18763326,176,14,251,24.87978488,38.68131868,1.979073696,3.076923077,35.48196554,55.16483516,67.42987037,63.37047354,477,4.777777672,1540,13
1,26.76056325,40.42553191,67.1361506,58.50622407,48,7,64,21.23769522,36.64122137,3.097163886,5.34351145,28.31692696,48.85496183,59.73101854,77.97619048,135,4.333333492,460,7
0,30.27210832,52.66272189,58.67347121,58.9877836,243,17,90,35.82136333,64.28571429,2.50602141,4.497354497,13.26717138,23.80952381,55.72212338,74.70355731,378,4.25,1270,13
0,30.88642657,44.51097804,71.19113803,66.62234043,233,29,217,30.75683713,46.6,3.828104213,5.8,28.64477932,43.4,68.24585795,73.42143906,517,4,1426,5
0,15.38461596,37.00440529,43.77289414,51.59090909,75,1,176,15.79008847,28.51711027,0.210534525,0.380228137,37.05407679,66.92015209,57.47592449,73.46368715,273,4.857142925,949,14
1,37.15847135,60.35502959,62.29507923,47.74011299,231,0,123,37.9391104,65.07042254,0,0,20.20134479,34.64788732,58.30469728,63.50626118,355,4.5,1112,11
1,35.96837819,61.48648649,58.49802494,43.78698225,94,0,86,32.33183026,52.22222222,0,0,29.58018482,47.77777778,65.69553018,67.66917293,191,4.333333492,494,4
1,39.91935551,47.14285714,86.29032373,48.49884527,130,0,109,51.69906616,54.16666667,0,0,43.34767759,45.41666667,100,66.85236769,256,4.666666508,467,4
0,22.10526317,28.96551724,79.73684072,71.25307125,136,18,100,34.54900086,50.55762082,4.572661966,6.691449814,25.40367842,37.17472119,73.16259146,82.01219512,288,4,747,4
0,25.46419203,42.2907489,61.00795865,58.05626598,122,6,99,31.82405233,51.91489362,1.565117389,2.553191489,25.82443655,42.12765957,61.30043268,77.81456954,235,4.5,724,4
1,21.19565159,35.94470046,63.04348111,50.58275058,163,20,80,40.62678516,61.97718631,4.984881729,7.604562738,19.93952692,30.41825095,70.78531981,78.50746269,284,4.5,835,6
1,20.67567557,40.47619048,53.64865065,51.42857143,305,17,103,42.76244938,68.84875847,2.38348078,3.837471783,14.44108933,23.25056433,68.70032549,71.6828479,490,4.333333492,1446,3
1,13.29639852,19.91701245,71.74515128,53.55555556,151,13,106,36.11290455,51.71232877,3.109057993,4.452054795,25.35077929,36.30136986,72.46496677,76.84210526,303,3.799999952,804,6
1,14.14752156,22.11720227,66.02176428,52.63681592,289,60,181,39.1294539,50.43630017,8.123762161,10.47120419,24.50668365,31.58813264,84.48712826,70.65351418,624,4.285714149,1471,8
1,21.20974064,37.92134831,58.68028402,51.40794224,443,31,299,40.76792598,54.35582822,2.852834575,3.803680982,27.51604915,36.68711656,76.93450451,70.68516912,836,4.428571224,2385,9
1,48.12623262,56.87645688,86.19329333,68.20349762,257,2,183,63.01425695,56.11353712,0.490383338,0.436681223,44.87007558,39.95633188,100,83.27272727,458,4.199999809,845,14
1,33.05439353,44.13407821,75.31380653,84.83412322,72,0,65,37.83689439,52.17391304,0,0,34.15830731,47.10144928,73.04622531,87.89808917,139,4.5,452,2
0,45.3347981,54.77453581,82.87596107,74.13962635,297,0,345,36.67834103,46.26168224,0,0,42.60615408,53.73831776,80.6429565,82.51928021,653,4.599999905,1728,4
1,37.38317788,75.47169811,52.33644843,66.25,55,0,5,46.4332372,91.66666667,0,0,4.221203178,8.333333333,50.65444112,77.92207792,60,5,306,3
1,2.083867043,29.18660287,7.361858338,55.65912117,322,173,273,3.019118123,39.85148515,1.622072794,21.41089109,2.559687197,33.78712871,7.847832143,78.06763285,837,3.428571463,19776,7
0,36.66666746,58.33333333,64.44444656,58.32106038,319,52,44,55.03096581,73.84259259,8.970565349,12.03703704,7.590477914,10.18518519,94.36344504,80.74766355,547,4,1114,7
1,30.2267015,48.48484848,63.47606778,56.05889015,310,36,135,43.68621111,59.84555985,5.073237419,6.94980695,19.02464032,26.06177606,74.83025193,76.96879643,531,4.666666508,1518,8
1,28.83031368,38.71681416,75.94727874,61.49659864,258,94,113,42.2706902,51.70340681,15.40094912,18.83767535,18.51390749,22.64529058,84.70522165,85.15358362,517,3.142857075,1216,7
0,19.9574247,53.41880342,38.37147355,53.62872422,423,9,291,23.28500897,57.86593707,0.495425705,1.23119015,16.01876467,39.80848153,40.95519185,73.91304348,744,4.857142925,3878,14
0,16.25615805,45,39.40886557,42.96875,73,8,133,12.55583912,32.73542601,1.375982258,3.587443946,22.87570536,59.64125561,45.06342113,55.0617284,262,4.733333111,1331,14
0,7.370658964,39.69465649,19.11764741,59.51164111,506,135,303,9.313694388,51.1627907,2.484879084,13.65015167,5.577172711,30.63700708,18.75623465,72.34820775,1019,3.571428537,9859,8
1,21.59468383,40.625,53.65448594,62.13592233,111,5,177,19.56838071,37.5,0.881458633,1.689189189,31.20363653,59.7972973,52.88751721,82.45125348,300,4.666666508,1196,11
1,16.96428508,19.19191919,88.3928597,63.87096774,30,0,68,22.33211845,30.3030303,0,0,50.61947107,68.68686869,75.18479824,71.73913043,101,4.75,307,6
1,43.27868819,76.74418605,57.70491958,51.19047619,74,2,89,22.99627364,43.2748538,0.621520914,1.169590643,27.6576817,52.04678363,55.00460267,76.33928571,177,5,748,8
0,34.54545438,18.34482759,195.8441615,58.70445344,325,73,268,81.86142445,45.51820728,18.38733405,10.22408964,67.50418544,37.53501401,185.8883977,74.92130115,738,3.75,744,6
1,26.99468136,50.49751244,55.18617034,59.46745562,167,28,96,29.35875058,56.41891892,4.922425002,9.459459459,16.87688679,32.43243243,54.49827909,68.20276498,310,3.400000095,1233,6
1,19.21067834,38.94117647,50.66744089,52.21130221,402,135,294,29.54950929,46.96261682,9.923342615,15.77102804,21.61083519,34.34579439,65.93509912,69.48051948,897,3.75,2795,6
1,26.87673867,40.96045198,69.23077106,65.25345622,306,12,254,30.54136336,51.0851419,1.197700482,2.003338898,25.35132766,42.40400668,62.28042841,74.22552664,624,4,2202,3
1,18.90315115,53.64238411,36.17269397,62.52587992,155,3,110,20.44856101,55.16014235,0.395778613,1.067615658,14.51188177,39.14590747,37.07126081,72.05128205,281,4.166666508,1501,11
0,28.31513286,52.83842795,54.75819111,60.58201058,361,54,80,25.54759979,65.04504505,3.821524605,9.72972973,5.661518127,14.41441441,40.40908515,74.59677419,571,3.818181753,2832,13
